"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-16","3.5",",,W",,,"25.7",",,W,2400","0.0",",,W,","0.0",",,W,",,,"12.2",",,W","1.7",",,W",,,"  170",",,W","  170",",,W","8.1",",,W","17.9",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-17","3.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"3.9",",,W","1.7",",,W",,,"  320",",,W","  310",",,W","6.3",",,W","9.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-18","3.2",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"2.2",",,W","-2.7",",,W",,,"   30",",,W","  300",",,W","6.7",",,W","10.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-19","2.4",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"3.9",",,W","-4.3",",,W",,,"  170",",,W","  180",",,W","6.3",",,W","10.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-20","3.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"16.1",",,W","3.9",",,W",,,"  240",",,W","  240",",,W","7.2",",,W","13.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-21","2.2",",,W",,,"0.8",",,W,2400","0.0",",,W,","0.0",",,W,",,,"12.8",",,W","6.7",",,W",,,"   60",",,W","   40",",,W","6.3",",,W","9.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-22","2.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"11.1",",,W","3.3",",,W",,,"   70",",,W","   80",",,W","7.2",",,W","9.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-23","6.5",",,W",,,"7.6",",,W,2400","0.0","T,,W,","0.0",",,W,",,,"4.4",",,W","1.7",",,W",,,"   70",",,W","   60",",,W","10.7",",,W","16.1",",,W","    1",",,W",,,,,"    1",",,W",,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-24","4.7",",,W",,,"31.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"15.6",",,W","2.2",",,W",,,"  180",",,W","  190",",,W","9.4",",,W","16.5",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-25","4.0",",,W",,,"0.5",",,W,2400","0.0",",,W,","0.0",",,W,",,,"16.1",",,W","2.8",",,W",,,"  260",",,W","  250",",,W","8.9",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-26","3.9",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"3.9",",,W","-2.7",",,W",,,"  290",",,W","  290",",,W","9.8",",,W","15.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-27","2.7",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"5.0",",,W","-3.2",",,W",,,"  250",",,W","  250",",,W","6.7",",,W","10.7",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-28","3.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"15.6",",,W","3.3",",,W",,,"  230",",,W","  200",",,W","7.6",",,W","13.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-29","3.8",",,W",,,"1.3",",,W,2400","0.0",",,W,","0.0",",,W,",,,"16.1",",,W","8.3",",,W",,,"  260",",,W","  270",",,W","6.7",",,W","11.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-01","3.4",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"11.1",",,W","3.9",",,W",,,"  170",",,W","  250",",,W","6.7",",,W","11.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-02","4.7",",,W",,,"3.6",",,W,2400","0.0",",,W,","0.0",",,W,",,,"12.8",",,W","-1.6",",,W",,,"  310",",,W","  300",",,W","10.3",",,W","17.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-03","2.6",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"2.2",",,W","-3.2",",,W",,,"  310",",,W","  320",",,W","7.2",",,W","11.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-04","3.9",",,W",,,"2.8",",,W,2400","10.0",",,W,","0.0","T,,W,",,,"3.9",",,W","-1.0",",,W",,,"   30",",,W","   20",",,W","7.2",",,W","10.7",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-05","1.9",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"5.0",",,W","-2.1",",,W",,,"  360",",,W","  360",",,W","5.8",",,W","8.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-06","1.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"6.7",",,W","0.0",",,W",,,"   50",",,W","   50",",,W","5.8",",,W","6.7",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-07","3.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"15.6",",,W","2.2",",,W",,,"  230",",,W","  240",",,W","7.6",",,W","13.4",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-08","1.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"19.4",",,W","8.3",",,W",,,"  170",",,W","  170",",,W","6.3",",,W","8.5",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-09","1.0",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"25.0",",,W","6.7",",,W",,,"  240",",,W","  210",",,W","4.5",",,W","9.8",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-10","2.2",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"26.1",",,W","17.2",",,W",,,"  250",",,W",,,"5.4",",,W",,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-11","2.7",",,W",,,"1.5",",,W,2400","0.0",",,W,","0.0",",,W,",,,"20.0",",,W","8.9",",,W",,,"   40",",,W","   10",",,W","7.6",",,W","11.6",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-12","2.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"15.0",",,W","4.4",",,W",,,"  250",",,W","  250",",,W","6.7",",,W","10.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-13","1.6",",,W",,,"0.0","T,,W,2400","0.0",",,W,","0.0",",,W,",,,"16.7",",,W","10.0",",,W",,,"   30",",,W","   30",",,W","5.4",",,W","8.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-14","6.3",",,W",,,"7.4",",,W,2400","0.0",",,W,","0.0",",,W,",,,"10.6",",,W","4.4",",,W",,,"   70",",,W","   60",",,W","12.5",",,W","17.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-15","2.4",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"13.9",",,W","6.7",",,W",,,"   70",",,W","   70",",,W","10.3",",,W","16.5",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-16","1.6",",,W",,,"0.5",",,W,2400","0.0",",,W,","0.0",",,W,",,,"18.3",",,W","8.9",",,W",,,"  190",",,W","  170",",,W","5.8",",,W","8.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-03-17","2.2",",,W",,,"0.0","T,,W,2400","0.0",",,W,","0.0",",,W,",,,"17.2",",,W","7.2",",,W",,,"  300",",,W","  300",",,W","8.9",",,W","14.3",",,W",,,,,,,,,,,,,,
